resolution,ticker,adf_stat,p_value,used_lag,n_obs,stationary_5pct
daily,XLF,-14.503890238936332,5.8718510355287956e-27,33,6882,True
daily,XLB,-19.326418232869297,0.0,19,6882,True
daily,XLE,-20.63728929457359,0.0,17,6882,True
daily,XLI,-19.505435134165438,0.0,18,6882,True
daily,XLK,-20.065675608200937,0.0,15,6882,True
daily,XLV,-17.313224124585382,5.538145355608202e-30,26,6882,True
daily,XLY,-15.626548779459268,1.7059950392252982e-28,33,6882,True
daily,XLP,-18.332209283936045,2.2546509473343982e-30,24,6882,True
daily,XLU,-21.019776106822576,0.0,15,6882,True
daily,^GSPC,-15.340733821383784,3.8343176327404018e-28,33,6882,True
weekly,XLF,-7.259157007472519,1.6994288592341252e-10,19,1429,True
weekly,XLB,-23.60348173289136,0.0,2,1429,True
weekly,XLE,-13.412832550782953,4.339749123853031e-25,7,1429,True
weekly,XLI,-20.063529702534534,0.0,3,1429,True
weekly,XLK,-39.92746408843015,0.0,0,1429,True
weekly,XLV,-13.982384993901963,4.1550585116566e-26,9,1429,True
weekly,XLY,-15.82291844711252,1.015171802206948e-28,6,1429,True
weekly,XLP,-42.46956824707265,0.0,0,1429,True
weekly,XLU,-16.768957733597546,1.2916660807398706e-29,6,1429,True
weekly,^GSPC,-20.406847426384882,0.0,3,1429,True
monthly,XLF,-7.364988839016774,9.286798305041494e-11,5,330,True
monthly,XLB,-19.258321379001238,0.0,0,330,True
monthly,XLE,-19.018572295302754,0.0,0,330,True
monthly,XLI,-14.130756973318132,2.3359961964539227e-26,1,330,True
monthly,XLK,-18.10915142176308,2.540433184936169e-30,0,330,True
monthly,XLV,-14.370633003890285,9.507442697386066e-27,1,330,True
monthly,XLY,-14.426706480750191,7.750482354856492e-27,1,330,True
monthly,XLP,-14.197402015314777,1.812431789519137e-26,1,330,True
monthly,XLU,-18.583626550622874,2.0767507991012146e-30,0,330,True
monthly,^GSPC,-17.905151287886024,2.9434616008840824e-30,0,330,True
