resolution,cause,effect,lag,test_statistic,p_value,df,error_msg,p_adj,significant
daily,XLF,XLB,1,3.9899954368170394,0.04577512457327645,"(1, 68700)",,0.12874253786234,False
daily,XLF,XLE,1,2.8893733836817534,0.08917012585618837,"(1, 68700)",,0.20063278317642386,False
daily,XLF,XLI,1,8.508093987553147,0.0035368462257440057,"(1, 68700)",,0.018724480018644737,True
daily,XLF,XLK,1,0.09001159770442575,0.7641633197863266,"(1, 68700)",,0.8931779062437584,False
daily,XLF,XLV,1,0.17794316045348268,0.6731481669869248,"(1, 68700)",,0.8685789616400189,False
daily,XLF,XLY,1,2.2618938817543444,0.13259641736925326,"(1, 68700)",,0.2775273851914603,False
daily,XLF,XLP,1,0.10009663714417891,0.7517146577174016,"(1, 68700)",,0.8901884104548178,False
daily,XLF,XLU,1,1.9579155418937408,0.16174093796345465,"(1, 68700)",,0.3202741829969238,False
daily,XLF,^GSPC,1,1.1965985724514354,0.27400641082751664,"(1, 68700)",,0.4501976054593667,False
daily,XLB,XLF,1,1.4747749743668404,0.22459799310523496,"(1, 68700)",,0.3887272957590605,False
daily,XLB,XLE,1,2.4922963638406372,0.1144092945360311,"(1, 68700)",,0.2511423538595805,False
daily,XLB,XLI,1,3.2993305891400238,0.06931247866893259,"(1, 68700)",,0.17328119667233147,False
daily,XLB,XLK,1,1.1570694275814777,0.282077923093424,"(1, 68700)",,0.45333951925728855,False
daily,XLB,XLV,1,1.875103040225394,0.17089624080867918,"(1, 68700)",,0.3272481206974708,False
daily,XLB,XLY,1,0.010070357562041448,0.9200658265843888,"(1, 68700)",,0.9580886540099957,False
daily,XLB,XLP,1,1.1068400293784537,0.2927735893659818,"(1, 68700)",,0.4622740884726029,False
daily,XLB,XLU,1,0.10551059349405749,0.7453153119936157,"(1, 68700)",,0.8901884104548178,False
daily,XLB,^GSPC,1,0.036258814053719834,0.8489825692351833,"(1, 68700)",,0.9580886540099957,False
daily,XLE,XLF,1,3.0513592173063815,0.08067407265841481,"(1, 68700)",,0.19107017208571928,False
daily,XLE,XLB,1,5.375251138528788,0.020427320578624012,"(1, 68700)",,0.07046135691086723,False
daily,XLE,XLI,1,0.8366535944264866,0.3603588119238451,"(1, 68700)",,0.5405382178857677,False
daily,XLE,XLK,1,3.350600649651075,0.06718482538393057,"(1, 68700)",,0.173121302306255,False
