,Materials,Energy,Financials,Industrials,Technology,Cons. Staples,Utilities,Healthcare,Cons. Discr.,S&P 500
Materials,,0.048701422414545725,0.0170392623590477,0.03537412513775438,0.027998011093109277,0.12568148770148255,0.0015122861669708066,0.05983766306774483,0.000230307018760815,0.006826933827352767
Energy,0.005775147680222355,,0.0007875866436880209,0.010965845142990639,0.00557622183284843,0.03275843525557291,0.0015377236488511687,0.004744972168136561,0.011061419955987861,0.0013694632748855052
Financials,0.0015863741742857531,0.013452889294910958,,0.000527062604378893,0.1413920514244744,0.0018148853899078157,0.03535482333015205,0.06227763107818005,0.000851735810262483,0.042086584688913985
Industrials,0.010125515290808263,0.04314875866749439,0.042086584688913985,,0.7378593058748795,0.056659311158635525,0.0031570916084486043,0.02455953339075142,0.010965845142990639,0.12568148770148255
Technology,0.00516886418117788,1.0532943161024707e-06,0.00011741037093230447,0.004393000737951605,,0.004744972168136561,3.9529622498374794e-05,0.00016104264601160008,0.0863966809659413,1.1366477665567417e-06
Cons. Staples,3.9529622498374794e-05,8.127185493945104e-07,2.342791055412005e-05,0.00011741037093230447,6.177336254181401e-07,,0.013452889294910958,0.02221772622127737,0.0170392623590477,4.7239914186045247e-07
Utilities,0.010965845142990639,0.00020072336353974026,0.0013694632748855052,0.0002764966764119256,0.008621893683063467,0.38513036727779776,,0.027998011093109277,0.02546696356750007,0.000527062604378893
Healthcare,0.004393000737951605,0.002993701020839733,0.00506484432879307,0.10050013681983953,0.3383457323553311,0.01638867398004863,0.30271412432499617,,0.016989747754718353,0.2619660033889783
Cons. Discr.,0.02455953339075142,4.877395527845478e-06,0.08164224604039398,0.05201417335166374,0.025754288005561118,0.04314875866749439,0.02455953339075142,0.0018353333738125427,,0.0007472051150508227
S&P 500,0.008770560565717494,0.0024087811841344542,0.020072283128139953,0.011061419955987861,0.017593924798641216,0.0367339470423165,0.03223864719292019,0.13626405532892655,1.1366477665567417e-06,
