resolution,cause,effect,conditional_var_edge,conditional_var_p_adj,xgb_top_edge,xgb_importance,pcmci_edge,pcmci_min_p_value,cvar,pcmci,xgb,total_conditional_score,core_causal_score
daily,XLY,XLE,True,2.155148172286709e-06,True,0.11492409557104111,True,2.7001216870620576e-08,1,1,1,3,2
daily,XLY,^GSPC,True,1.2437785545633909e-05,True,0.10699857771396637,True,2.199742606882872e-08,1,1,1,3,2
daily,XLY,XLK,True,0.0017998887511776,True,0.1263398826122284,True,3.837562089868925e-06,1,1,1,3,2
daily,XLI,XLE,True,0.0030966462306906,True,0.11332155764102936,True,5.576391285862186e-06,1,1,1,3,2
daily,XLY,XLP,True,0.0030966462306906,True,0.10965707898139954,True,2.2820391208864082e-05,1,1,1,3,2
daily,XLP,XLU,True,0.018237587563818,True,0.10919689387083054,True,0.023658649634285205,1,1,1,3,2
daily,XLY,XLU,True,0.0243946602569885,True,0.12646818161010742,True,0.01138613594693249,1,1,1,3,2
daily,XLE,XLV,True,0.0418524338269712,True,0.10701373964548111,True,1.5113217098667698e-05,1,1,1,3,2
daily,^GSPC,XLE,True,5.799030758552803e-07,False,,True,0.016846517681624883,1,1,0,2,2
daily,^GSPC,XLB,True,0.0002057375503507,False,,True,0.00434797377707344,1,1,0,2,2
daily,XLY,XLF,True,0.0030966462306906,False,,True,0.0001140675227627635,1,1,0,2,2
daily,XLK,^GSPC,True,0.0030966462306906,False,,True,0.001493276118458455,1,1,0,2,2
daily,XLI,XLU,True,0.0300987977796775,False,,True,0.0021465948130829616,1,1,0,2,2
weekly,XLB,XLV,True,0.032402953868558,False,,True,0.0007664804787326418,1,1,0,2,2
weekly,XLV,XLY,True,0.0474409431727779,False,,True,9.444578006394492e-05,1,1,0,2,2
daily,XLY,XLI,True,0.0001062392769957,True,0.12395992875099182,False,,1,0,1,2,1
daily,XLI,XLF,True,0.0169562002388846,True,0.10730553418397903,False,,1,0,1,2,1
daily,^GSPC,XLK,False,0.0517813456842628,True,0.10630567371845245,True,2.1483739628500206e-14,0,1,1,2,1
