resolution,cause,effect,lag,p_value,strength,significant
daily,XLB,XLE,1,0.005986845705575941,0.033137860758146835,True
daily,XLE,XLF,1,0.003638195111137429,-0.035064103141747335,True
daily,XLE,XLK,1,0.02105766349222738,-0.027820502004750475,True
daily,XLE,XLV,1,1.5113217098667698e-05,-0.052148562122664555,True
daily,XLE,XLY,1,1.1135873700595694e-06,-0.058686767429206865,True
daily,XLI,XLE,1,5.576391285862186e-06,0.05473764070643215,True
daily,XLI,XLP,1,0.02416355067636061,0.02718648280567821,True
daily,XLI,XLU,1,0.0021465948130829616,0.037004166713572026,True
daily,XLI,^GSPC,1,0.0075688374627298945,0.03220527433081953,True
daily,XLK,XLB,1,0.01811381185498537,-0.028495446656623062,True
daily,XLK,^GSPC,1,0.001493276118458455,0.03829397421477787,True
daily,XLV,XLF,1,0.010367314398756355,-0.030910921066735726,True
daily,XLV,XLB,1,0.0020778638046105194,-0.03711574339131714,True
daily,XLY,XLF,1,0.0001140675227627635,0.0465122207758615,True
daily,XLY,XLE,1,2.7001216870620576e-08,0.06698139682242406,True
daily,XLY,XLK,1,3.837562089868925e-06,0.05567395026061181,True
daily,XLY,XLV,1,0.03301025475976412,0.02570720371255857,True
daily,XLY,XLP,1,2.2820391208864082e-05,0.05104870108592493,True
daily,XLY,XLU,1,0.01138613594693249,0.03051441996786672,True
daily,XLY,^GSPC,1,2.199742606882872e-08,0.0674100730521266,True
daily,XLP,XLU,1,0.023658649634285205,0.027288197407700547,True
daily,XLU,XLB,1,0.0039730736989474465,-0.03472588612317798,True
daily,XLU,XLE,1,0.02964394481704693,-0.02622570451270886,True
daily,XLU,XLI,1,0.0001266659340678578,-0.046199577955665816,True
daily,^GSPC,XLF,1,0.024873157556504346,-0.027057959171890057,True
daily,^GSPC,XLB,1,0.00434797377707344,-0.03438443978174168,True
daily,^GSPC,XLE,1,0.016846517681624883,-0.028822128782171073,True
daily,^GSPC,XLK,1,2.1483739628500206e-14,-0.09197365603450158,True
daily,^GSPC,XLP,1,9.083222689579171e-13,-0.08601255923278676,True
weekly,XLB,XLF,1,0.0003406594343207645,0.09476541467531478,True
weekly,XLB,XLV,1,0.0007664804787326418,0.08903214592921643,True
weekly,XLB,XLY,1,0.034811759891134685,0.05591492963814929,True
weekly,XLB,XLP,1,0.014804479832063545,0.06457303206173914,True
weekly,XLB,^GSPC,1,0.035625903913712224,0.0556670836142479,True
weekly,XLI,XLF,1,0.020287115565691356,0.0614588846784851,True
weekly,XLV,XLB,1,0.004086527702020256,-0.07599534133533922,True
weekly,XLV,XLI,1,0.009657399922187606,-0.06850961634652203,True
weekly,XLV,XLK,1,0.009188015797848415,-0.06896169223675039,True
weekly,XLV,XLY,1,9.444578006394492e-05,-0.10320902464870021,True
weekly,XLV,XLP,1,0.03323722581016957,-0.0564086316178265,True
weekly,XLV,^GSPC,1,0.00013118344276252794,-0.10109978970957359,True
weekly,XLU,XLI,1,0.028893332310258403,-0.05786240657115643,True
weekly,XLU,XLK,1,0.04015591965525471,-0.054350981985124905,True
weekly,^GSPC,XLK,1,0.04643865290980628,-0.05274410387069324,True
monthly,XLE,XLY,1,0.028981476000640438,-0.12059679032195339,True
monthly,XLI,XLU,1,0.02275483489348271,0.1257358821318727,True
monthly,XLK,XLU,1,0.008774677730118915,0.14449599009760233,True
