resolution,target,test_rmse,test_mae,test_r2
daily,XLF,0.012232163279920443,0.00891989796600212,-0.03880225649332858
daily,XLB,0.012143455026144051,0.009126463538656478,-0.03936329463165
daily,XLE,0.017639602511977208,0.01299120785162242,-0.01702699273603403
daily,XLI,0.011121482685270958,0.008300503836751672,-0.036527663807079946
daily,XLK,0.015515799291467305,0.011486060710831277,-0.01900869012473283
daily,XLV,0.009221581523029558,0.006944417719967018,-0.027712699471565516
daily,XLY,0.014865251203401693,0.010971406875221447,-0.020843143819903265
daily,XLP,0.008379859553203849,0.00626848368516926,-0.028831783070173866
daily,XLU,0.0109714594135819,0.008329026637581942,-0.02572377687153904
daily,^GSPC,0.010578987271046834,0.007569695930048741,-0.018240855881921814
weekly,XLF,0.02984865758019455,0.021743427766521176,-0.27154236277799004
weekly,XLB,0.027872758045477165,0.02075625240590799,-0.11958904153468941
weekly,XLE,0.04193397999062088,0.03127548923369674,-0.1305624111140633
weekly,XLI,0.02597497825536893,0.01915854528064482,-0.2275221943733945
weekly,XLK,0.03311696262456672,0.02576472382718773,-0.09518650859255073
weekly,XLV,0.022581775342915788,0.01664395562950142,-0.2560852019837798
weekly,XLY,0.031818524418216886,0.024599065485324458,-0.06238568063823546
weekly,XLP,0.019388635084494815,0.013837666246345191,-0.17838960484738298
weekly,XLU,0.02595626759375805,0.019124609885725494,-0.23597306677929986
weekly,^GSPC,0.024477772406517634,0.017950695997155236,-0.23640510304342288
monthly,XLF,0.05794458367464649,0.049485576626503325,-0.2759812551849232
monthly,XLB,0.05811900018247337,0.04743902023504033,-0.1149094671266595
monthly,XLE,0.08220067302654925,0.0607211163007295,-0.2833856246156188
monthly,XLI,0.05238011213346357,0.04229238505794333,-0.04007419518779365
monthly,XLK,0.061160110593676334,0.049800143498526975,-0.011128007594581657
monthly,XLV,0.04088770426608029,0.035429044021290226,0.0032704879972369483
monthly,XLY,0.05819925874365145,0.04256621175026388,0.0900884892743854
monthly,XLP,0.04175598789738924,0.032986920582249654,-0.16978828120546208
monthly,XLU,0.053088654358738434,0.04261065416451535,-0.2567970349086086
monthly,^GSPC,0.042695858383301734,0.03473813388405266,0.03814873929071627
