resolution,cause,effect,xgb_importance,target,test_rmse,test_mae,test_r2,xgb_top_edge,xgb_rank_for_effect
daily,XLE,XLF,0.12742023,XLF,0.012232163279920443,0.00891989796600212,-0.03880225649332858,True,1
daily,XLI,XLF,0.107305534,XLF,0.012232163279920443,0.00891989796600212,-0.03880225649332858,True,2
daily,^GSPC,XLF,0.10691829,XLF,0.012232163279920443,0.00891989796600212,-0.03880225649332858,True,3
daily,XLE,XLB,0.10810015,XLB,0.012143455026144051,0.009126463538656478,-0.03936329463165,True,1
daily,XLI,XLB,0.108006,XLB,0.012143455026144051,0.009126463538656478,-0.03936329463165,True,2
daily,XLK,XLB,0.1051164,XLB,0.012143455026144051,0.009126463538656478,-0.03936329463165,True,3
daily,XLY,XLE,0.114924096,XLE,0.017639602511977208,0.01299120785162242,-0.01702699273603403,True,1
daily,XLI,XLE,0.11332156,XLE,0.017639602511977208,0.01299120785162242,-0.01702699273603403,True,2
daily,XLF,XLE,0.10100011,XLE,0.017639602511977208,0.01299120785162242,-0.01702699273603403,True,3
daily,XLY,XLI,0.12395993,XLI,0.011121482685270958,0.008300503836751672,-0.036527663807079946,True,1
daily,XLE,XLI,0.12162429,XLI,0.011121482685270958,0.008300503836751672,-0.036527663807079946,True,2
daily,XLP,XLI,0.103324175,XLI,0.011121482685270958,0.008300503836751672,-0.036527663807079946,True,3
daily,XLE,XLK,0.12669429,XLK,0.015515799291467305,0.011486060710831277,-0.01900869012473283,True,1
daily,XLY,XLK,0.12633988,XLK,0.015515799291467305,0.011486060710831277,-0.01900869012473283,True,2
daily,^GSPC,XLK,0.10630567,XLK,0.015515799291467305,0.011486060710831277,-0.01900869012473283,True,3
daily,XLY,XLV,0.11112764,XLV,0.009221581523029558,0.006944417719967018,-0.027712699471565516,True,1
daily,XLE,XLV,0.10701374,XLV,0.009221581523029558,0.006944417719967018,-0.027712699471565516,True,2
daily,^GSPC,XLV,0.10530816,XLV,0.009221581523029558,0.006944417719967018,-0.027712699471565516,True,3
daily,XLE,XLY,0.13545,XLY,0.014865251203401693,0.010971406875221447,-0.020843143819903265,True,1
daily,XLP,XLY,0.114934705,XLY,0.014865251203401693,0.010971406875221447,-0.020843143819903265,True,2
daily,^GSPC,XLY,0.10743355,XLY,0.014865251203401693,0.010971406875221447,-0.020843143819903265,True,3
daily,XLE,XLP,0.13879965,XLP,0.008379859553203849,0.00626848368516926,-0.028831783070173866,True,1
daily,^GSPC,XLP,0.11641442,XLP,0.008379859553203849,0.00626848368516926,-0.028831783070173866,True,2
daily,XLY,XLP,0.10965708,XLP,0.008379859553203849,0.00626848368516926,-0.028831783070173866,True,3
daily,XLY,XLU,0.12646818,XLU,0.0109714594135819,0.008329026637581942,-0.02572377687153904,True,1
daily,XLE,XLU,0.12174394,XLU,0.0109714594135819,0.008329026637581942,-0.02572377687153904,True,2
daily,XLP,XLU,0.109196894,XLU,0.0109714594135819,0.008329026637581942,-0.02572377687153904,True,3
daily,XLE,^GSPC,0.1458766,^GSPC,0.010578987271046834,0.007569695930048741,-0.018240855881921814,True,1
daily,XLY,^GSPC,0.10699858,^GSPC,0.010578987271046834,0.007569695930048741,-0.018240855881921814,True,2
daily,XLP,^GSPC,0.10666287,^GSPC,0.010578987271046834,0.007569695930048741,-0.018240855881921814,True,3
weekly,XLY,XLF,0.129249,XLF,0.02984865758019455,0.021743427766521176,-0.27154236277799004,True,1
weekly,XLE,XLF,0.11077793,XLF,0.02984865758019455,0.021743427766521176,-0.27154236277799004,True,2
weekly,XLB,XLF,0.09734171,XLF,0.02984865758019455,0.021743427766521176,-0.27154236277799004,True,3
weekly,XLV,XLB,0.105447985,XLB,0.027872758045477165,0.02075625240590799,-0.11958904153468941,True,1
weekly,XLU,XLB,0.10522933,XLB,0.027872758045477165,0.02075625240590799,-0.11958904153468941,True,2
weekly,XLY,XLB,0.10486092,XLB,0.027872758045477165,0.02075625240590799,-0.11958904153468941,True,3
