Date,SP500,VIX,FEDFUNDS,CPI,UNRATE,M2,SENTIMENT,OIL,GS10
2000-01-31,1394.4599609375,24.950000762939453,5.45,169.3,4.0,4667.6,112.0,27.65,6.66
2000-02-29,1366.4200439453125,23.3700008392334,5.73,170.0,4.1,4680.9,111.3,30.57,6.52
2000-03-31,1498.5799560546875,24.110000610351562,5.85,171.0,4.0,4711.7,107.1,26.86,6.26
2000-04-30,1452.4300537109375,26.200000762939453,6.02,170.9,3.8,4767.8,109.2,25.71,5.99
2000-05-31,1420.5999755859375,23.649999618530273,6.27,171.2,4.0,4755.7,110.7,29.03,6.44
2000-06-30,1454.5999755859375,19.540000915527344,6.53,172.2,4.0,4773.6,106.4,32.44,6.1
2000-07-31,1430.8299560546875,20.739999771118164,6.54,172.7,4.0,4791.3,108.3,27.5,6.05
2000-08-31,1517.6800537109375,16.84000015258789,6.5,172.7,4.1,4819.5,107.3,33.09,5.83
2000-09-30,1436.510009765625,20.56999969482422,6.52,173.6,3.9,4855.2,106.8,30.87,5.8
2000-10-31,1429.4000244140625,23.6299991607666,6.51,173.9,3.9,4871.3,105.8,32.7,5.74
2000-11-30,1314.949951171875,29.649999618530273,6.51,174.2,3.9,4882.7,107.6,33.61,5.72
2000-12-31,1320.280029296875,26.850000381469727,6.4,174.6,3.9,4927.6,98.4,26.72,5.24
2001-01-31,1366.010009765625,22.020000457763672,5.98,175.6,4.2,4978.3,94.7,28.62,5.16
2001-02-28,1239.93994140625,28.350000381469727,5.49,176.0,4.2,5017.0,90.6,27.35,5.1
2001-03-31,1160.3299560546875,28.639999389648438,5.31,176.1,4.3,5074.8,91.5,26.37,4.89
2001-04-30,1249.4599609375,25.479999542236328,4.8,176.4,4.4,5139.1,88.4,28.48,5.14
2001-05-31,1255.8199462890625,22.639999389648438,4.21,177.3,4.3,5137.2,92.0,28.39,5.39
2001-06-30,1224.3800048828125,19.059999465942383,3.97,177.7,4.5,5180.1,92.6,26.37,5.28
2001-07-31,1211.22998046875,21.6200008392334,3.77,177.4,4.6,5210.0,92.4,26.7,5.24
2001-08-31,1133.5799560546875,24.920000076293945,3.65,177.4,4.9,5243.8,91.5,26.65,4.97
2001-09-30,1040.93994140625,31.93000030517578,3.07,178.1,5.0,5355.1,81.8,23.44,4.73
2001-10-31,1059.780029296875,33.560001373291016,2.49,177.6,5.3,5343.8,82.7,21.2,4.57
2001-11-30,1139.449951171875,23.84000015258789,2.09,177.5,5.5,5387.5,83.9,19.46,4.65
2001-12-31,1148.0799560546875,23.799999237060547,1.82,177.4,5.7,5440.5,88.8,19.96,5.09
2002-01-31,1130.199951171875,21.09000015258789,1.73,177.7,5.7,5460.9,93.0,19.71,5.04
2002-02-28,1106.72998046875,21.59000015258789,1.74,178.0,5.7,5490.2,90.7,21.78,4.91
2002-03-31,1147.3900146484375,17.399999618530273,1.73,178.5,5.7,5502.0,95.7,26.21,5.28
2002-04-30,1076.9200439453125,21.90999984741211,1.75,179.3,5.9,5502.1,93.0,27.32,5.21
2002-05-31,1067.1400146484375,19.979999542236328,1.75,179.5,5.8,5528.3,96.9,25.37,5.16
2002-06-30,989.8200073242188,25.399999618530273,1.75,179.6,5.8,5553.3,92.4,26.79,4.93
2002-07-31,911.6199951171875,32.029998779296875,1.73,180.0,5.8,5596.0,88.1,27.02,4.65
2002-08-31,916.0700073242188,32.63999938964844,1.74,180.5,5.7,5638.3,87.6,28.97,4.26
2002-09-30,815.280029296875,39.689998626708984,1.75,180.8,5.7,5662.3,86.1,30.59,3.87
2002-10-31,885.760009765625,31.139999389648438,1.75,181.2,5.7,5707.1,80.6,27.18,3.94
2002-11-30,936.3099975585938,27.5,1.34,181.5,5.9,5758.1,84.2,26.87,4.05
2002-12-31,879.8200073242188,28.6200008392334,1.24,181.8,6.0,5779.4,86.7,31.21,4.03
2003-01-31,855.7000122070312,31.170000076293945,1.24,182.6,5.8,5812.1,82.4,33.51,4.05
2003-02-28,841.1500244140625,29.6299991607666,1.26,183.6,5.9,5848.2,79.9,36.76,3.9
2003-03-31,848.1799926757812,29.149999618530273,1.25,183.9,5.9,5868.4,77.6,31.14,3.81
2003-04-30,916.9199829101562,21.209999084472656,1.26,183.2,6.0,5905.5,86.0,26.09,3.96
2003-05-31,963.5900268554688,19.469999313354492,1.26,182.9,6.1,5965.3,92.1,29.56,3.57
2003-06-30,974.5,19.520000457763672,1.22,183.1,6.3,6002.2,89.7,30.15,3.33
2003-07-31,990.3099975585938,19.489999771118164,1.01,183.7,6.2,6049.1,90.9,30.56,3.98
2003-08-31,1008.010009765625,18.6299991607666,1.03,184.5,6.1,6107.1,89.3,31.76,4.45
2003-09-30,995.969970703125,22.719999313354492,1.01,185.1,6.1,6079.7,87.7,29.19,4.27
2003-10-31,1050.7099609375,16.100000381469727,1.01,184.9,6.0,6070.0,89.6,29.24,4.29
2003-11-30,1058.199951171875,16.31999969482422,1.0,185.0,5.8,6075.5,93.7,30.33,4.3
2003-12-31,1111.9200439453125,18.309999465942383,0.98,185.5,5.7,6073.8,92.6,32.51,4.27
2004-01-31,1131.1300048828125,16.6299991607666,1.0,186.3,5.7,6082.1,103.8,33.16,4.15
2004-02-29,1144.93994140625,14.550000190734863,1.01,186.7,5.6,6121.8,94.4,36.08,4.08
