,Year,Company_1,Ticker_1,Weight_1,Company_2,Ticker_2,Weight_2,Company_3,Ticker_3,Weight_3,Company_4,Ticker_4,Weight_4,Company_5,Ticker_5,Weight_5,Company_6,Ticker_6,Weight_6,Company_7,Ticker_7,Weight_7,Company_8,Ticker_8,Weight_8,Company_9,Ticker_9,Weight_9,Company_10,Ticker_10,Weight_10
0,2000,General Electric Co,GE,4.525,"Cisco Systems, Inc",CSCO,3.105,Microsoft Corp,MSFT,2.514,Exxon Mobil Corp,XOM,2.459,"Pfizer, Inc",PFE,2.245,Intel Corp,INTC,2.21,"Citigroup, Inc",C,1.926,Oracle Corp,ORCL,1.756,"American International Group, Inc",AIG,1.756,EMC Corp,DELL,1.708
1,2001,General Electric Co,GE,3.917,Microsoft Corp,MSFT,2.918,Exxon Mobil Corp,XOM,2.878,"Pfizer, Inc",PFE,2.682,"Wal-Mart Stores, Inc",WMT,2.344,"American International Group, Inc",AIG,2.164,"Citigroup, Inc",C,2.157,Johnson & Johnson,JNJ,1.775,International Business Machines Corp,IBM,1.698,"SBC Communications, Inc",T,1.679
2,2002,General Electric Co,GE,3.265,Microsoft Corp,MSFT,3.153,"Wal-Mart Stores, Inc",WMT,2.916,Exxon Mobil Corp,XOM,2.873,"Pfizer, Inc",PFE,2.392,Johnson & Johnson Company,JNJ,2.143,"Citigroup, Inc",C,1.999,"American International Group, Inc",AIG,1.898,Coca-Cola Co (The),KO,1.582,Procter & Gamble Co,PG,1.543
3,2003,Microsoft Corp,MSFT,3.267,General Electric Co,GE,3.245,"Wal-Mart Stores, Inc",WMT,2.652,Exxon Mobil Corp,XOM,2.64,"Pfizer, Inc",PFE,2.571,"Citigroup, Inc",C,2.547,Intel Corp,INTC,1.947,International Business Machines Corp,IBM,1.662,"American International Group, Inc",AIG,1.64,Johnson & Johnson Company,JNJ,1.601
4,2004,General Electric Co,GE,3.41,Exxon Mobil Corp,XOM,3.023,Microsoft Corp,MSFT,2.892,Pfizer Inc,PFE,2.221,"Citigroup, Inc",C,2.198,"Wal-Mart Stores, Inc",WMT,2.17,"American International Group, Inc",AIG,1.703,Bank of America Corp,BAC,1.695,Johnson & Johnson Co,JNJ,1.607,International Business Machines Corp,IBM,1.381
5,2005,Exxon Mobil Corp,XOM,3.614,General Electric Co,GE,3.22,Microsoft Corp,MSFT,2.139,"Citigroup, Inc",C,2.123,Johnson & Johnson Co,JNJ,1.698,"Pfizer, Inc",PFE,1.663,Bank of America Corp,BAC,1.526,"American International Group, Inc",AIG,1.451,"Altria Group, Inc",MO,1.38,Procter & Gamble Co,PG,1.376
6,2006,Exxon Mobil Corp,XOM,3.316,General Electric Co,GE,3.036,"Citigroup, Inc",C,2.042,Bank of America Corp,BAC,2.022,Microsoft Corp,MSFT,1.962,"Pfizer, Inc",PFE,1.719,Procter & Gamble Co,PG,1.635,Johnson & Johnson,JNJ,1.579,"American International Group, Inc",AIG,1.432,JPMorgan Chase & Co,JPM,1.356
7,2007,Exxon Mobil Corp,XOM,3.812,General Electric Co,GE,3.146,"AT&T, Inc",T,1.916,Microsoft Corp,MSFT,1.765,"Citigroup, Inc",C,1.723,Bank of America Corp,BAC,1.65,Procter & Gamble Co,PG,1.635,"Cisco Systems, Inc",CSCO,1.496,Chevron Corp,CVX,1.487,Johnson & Johnson,JNJ,1.412
8,2008,Exxon Mobil Corp,XOM,3.962,General Electric Co,GE,2.492,Procter & Gamble Co,PG,2.077,Microsoft Corp,MSFT,2.059,Johnson & Johnson,JNJ,1.902,JPMorgan Chase & Co,JPM,1.69,Chevron Corp,CVX,1.665,"AT&T, Inc",T,1.617,Bank of America Corp,BAC,1.569,International Business Machines Corp,IBM,1.557
9,2009,Exxon Mobil Corp,XOM,3.532,Microsoft Corp,MSFT,2.15,General Electric Co,GE,1.869,JPMorgan Chase & Co,JPM,1.846,Procter & Gamble Co,PG,1.811,Johnson & Johnson,JNJ,1.797,"Apple, Inc",AAPL,1.779,"AT&T, Inc",T,1.707,International Business Machines Corp,IBM,1.679,Bank of America Corp,BAC,1.568
10,2010,Exxon Mobil Corp.,XOM,3.044,"Apple, Inc.",AAPL,2.509,Microsoft Corp.,MSFT,1.806,General Electric Co.,GE,1.681,Johnson & Johnson,JNJ,1.653,The Procter & Gamble Co.,PG,1.646,International BusinessMachines Corp.,IBM,1.636,"AT&T, Inc.",T,1.635,Chevron Corp.,CVX,1.575,JPMorgan Chase & Co.,JPM,1.46
11,2011,"Apple, Inc.",AAPL,3.431,Exxon Mobil Corp.,XOM,3.429,International Business Machines Corp.,IBM,2.03,Microsoft Corp.,MSFT,1.802,Chevron Corp.,CVX,1.801,Johnson & Johnson,JNJ,1.697,The Procter & Gamble Co.,PG,1.685,"AT&T, Inc.",T,1.641,General Electric Co.,GE,1.57,TheCoca-ColaCo.,KO,1.506
12,2012,"Apple, Inc.",AAPL,4.856,Exxon Mobil Corp.,XOM,3.277,General Electric Co.,GE,1.862,Chevron Corp.,CVX,1.776,Microsoft Corp.,MSFT,1.744,International Business Machines Corp.,IBM,1.732,"AT&T, Inc.",T,1.689,"Google, Inc. (Class A)",GOOGL,1.55,The Procter & Gamble Co.,PG,1.483,Johnson & Johnson,JNJ,1.475
13,2013,"Apple, Inc.",AAPL,2.897,Exxon Mobil Corp.,XOM,2.532,Microsoft Corp.,MSFT,1.688,"Google, Inc. (Class A)",GOOGL,1.638,Johnson & Johnson,JNJ,1.633,General Electric Co.,GE,1.627,Chevron Corp.,CVX,1.57,The Procter & Gamble Co.,PG,1.384,"Berkshire Hathaway, Inc.(Class B)",BRK.B,1.366,Wells Fargo & Co.,WFC,1.335
14,2014,"Apple, Inc.",AAPL,3.445,Exxon Mobil Corp.,XOM,2.29,Microsoft Corp.,MSFT,2.179,Johnson & Johnson,JNJ,1.716,General Electric Co.,GE,1.467,"Berkshire Hathaway, Inc. (Class B)",BRK.B,1.438,Wells Fargo & Co.,WFC,1.407,JPMorgan Chase & Co.,JPM,1.294,Chevron Corp.,CVX,1.294,The Procter & Gamble Co.,PG,1.294
15,2015,"Apple, Inc.",AAPL,3.717,Microsoft Corp.,MSFT,2.092,Exxon Mobil Corp.,XOM,1.833,Johnson & Johnson,JNJ,1.527,General Electric Co.,GE,1.505,"Berkshire Hathaway, Inc. (Class B)",BRK.B,1.445,Wells Fargo & Co.,WFC,1.419,JPMorgan Chase & Co.,JPM,1.334,"Facebook, Inc. (Class A)",META,1.203,"AT&T, Inc.",T,1.185
16,2016,"Apple, Inc.",AAPL,3.252,Microsoft Corp.,MSFT,2.397,Exxon Mobil Corp.,XOM,1.924,"Amazon.com, Inc.",AMZN,1.761,Johnson & Johnson,JNJ,1.728,"Facebook, Inc. Class A",META,1.592,"Berkshire Hathaway, Inc.Class B",BRK.B,1.466,General Electric Co.,GE,1.417,"AT&T, Inc.",T,1.329,JPMorgan Chase & Co.,JPM,1.285
17,2017,"Apple, Inc.",AAPL,3.688,Microsoft Corp.,MSFT,2.658,"Facebook, Inc. Class A",META,1.877,"Amazon.com, Inc.",AMZN,1.776,"Berkshire Hathaway, Inc. Class B",BRK.B,1.635,Johnson & Johnson,JNJ,1.617,Exxon Mobil Corp.,XOM,1.61,JPMorgan Chase & Co.,JPM,1.557,"Alphabet, Inc. Class A",GOOG,1.343,"Alphabet, Inc. Class C",GOOG,1.342
18,2018,"Apple, Inc.",AAPL,4.211,Microsoft Corp.,MSFT,3.567,"Amazon.com, Inc.",AMZN,3.339,"Berkshire Hathaway, Inc. Class B",BRK.B,1.698,"Facebook, Inc. Class A",META,1.613,JPMorgan Chase & Co.,JPM,1.542,Johnson & Johnson,JNJ,1.508,"Alphabet, Inc. Class C",GOOG,1.495,"Alphabet, Inc. Class A",GOOG,1.468,Exxon Mobil Corp.,XOM,1.464
19,2019,Microsoft Corp.,MSFT,4.297,"Apple, Inc.",AAPL,3.852,"Amazon.com, Inc.",AMZN,2.92,"Facebook, Inc. Class A",META,1.734,"Berkshire Hathaway, Inc. Class B",BRK.B,1.651,JPMorgan Chase & Co.,JPM,1.523,"Alphabet, Inc. Class C",GOOG,1.491,"Alphabet, Inc. Class A",GOOG,1.481,Johnson & Johnson,JNJ,1.382,Procter & Gamble Co.,PG,1.26
20,2020,"Apple, Inc.",AAPL,6.681,Microsoft Corp.,MSFT,5.712,"Amazon.com, Inc.",AMZN,4.811,"Facebook, Inc. Class A",META,2.26,"Alphabet, Inc. Class A",GOOG,1.58,"Alphabet, Inc. Class C",GOOG,1.548,"Berkshire Hathaway, Inc. Class B",BRK.B,1.515,Johnson & Johnson,JNJ,1.407,Procter & Gamble Co.,PG,1.242,"Visa, Inc. Class A",V,1.21
