Date,Year,Rank,Ticker,Company,Open,High,Low,Close,Volume,Dividends,Weight
2000-01-01,2000,1,GE,General Electric Co,132.02668491510101,133.69858726224888,114.82222364389136,115.63121795654297,87798395,0.0,4.525
2000-02-01,2000,1,GE,General Electric Co,115.84693839217653,123.50534862762794,107.81100025309932,114.22895812988281,92962717,0.0,4.525
2000-03-01,2000,1,GE,General Electric Co,115.1997012360312,142.273790624127,108.94354447727062,134.2917938232422,117413115,0.654966,4.525
2000-04-01,2000,1,GE,General Electric Co,134.36350406579197,145.34409030986518,123.81564063321541,136.0944366455078,84243480,0.0,4.525
2000-05-01,2000,1,GE,General Electric Co,137.60897914446124,143.28859660822164,126.57429662061072,136.6353302001953,62865067,0.0,4.525
2000-06-01,2000,1,GE,General Electric Co,135.17490502627845,140.20542759095994,124.46477141125973,137.60902404785156,55042826,0.0,4.525
2000-07-01,2000,1,GE,General Electric Co,136.31080732964608,142.15270190665817,128.52161456029663,134.20123291015625,51346087,0.656564,4.525
2000-08-01,2000,1,GE,General Electric Co,135.2065616045147,157.49694360680832,133.25411926433446,152.61582946777344,52990464,0.0,4.525
2000-09-01,2000,1,GE,General Electric Co,154.24285088798638,156.3579979857247,143.17901728225317,150.50067138671875,48784883,0.656564,4.525
2000-10-01,2000,1,GE,General Electric Co,151.340173027887,156.39571326803124,127.85635765893802,143.0229949951172,89524194,0.0,4.525
2000-11-01,2000,1,GE,General Electric Co,142.8599323601317,144.16458434504761,125.08398052568816,129.32411193847656,59439942,0.0,4.525
2000-12-01,2000,1,GE,General Electric Co,132.74886215963042,146.61085269453963,123.12702055961702,125.0840072631836,68881820,0.76679,4.525
2000-01-01,2000,2,CSCO,"Cisco Systems, Inc",35.37590994029284,37.24626788483363,31.293300663499526,35.235130310058594,986312600,0.0,3.105
2000-02-01,2000,2,CSCO,"Cisco Systems, Inc",35.32563541764063,44.72770462216497,35.255245594719064,42.53556442260742,1246002200,0.0,3.105
2000-03-01,2000,2,CSCO,"Cisco Systems, Inc",42.69645980797955,52.772261204021824,40.0015348836888,49.75555419921875,1209113300,0.0,3.105
2000-04-01,2000,2,CSCO,"Cisco Systems, Inc",49.47398146396557,49.554426962280964,35.43624200792981,44.61708450317383,971808800,0.0,3.105
2000-05-01,2000,2,CSCO,"Cisco Systems, Inc",44.96903451528036,46.256162515717726,32.17820001093407,36.64292526245117,1306291900,0.0,3.105
2000-06-01,2000,2,CSCO,"Cisco Systems, Inc",37.69877887170692,44.76792839072799,37.24627285697584,40.90654373168945,773738600,0.0,3.105
2000-07-01,2000,2,CSCO,"Cisco Systems, Inc",40.785876823359715,44.88859816062075,39.17696649502205,42.11322784423828,736369500,0.0,3.105
2000-08-01,2000,2,CSCO,"Cisco Systems, Inc",41.67078509443662,45.04949739939094,37.648508540919565,44.16459655761719,943606900,0.0,3.105
2000-09-01,2000,2,CSCO,"Cisco Systems, Inc",44.32547583946815,44.808148897611176,35.1546877347506,35.556915283203125,1098540700,0.0,3.105
2000-10-01,2000,2,CSCO,"Cisco Systems, Inc",36.92447426037003,38.251824642278756,29.12126292430055,34.672000885009766,1359114200,0.0,3.105
2000-11-01,2000,2,CSCO,"Cisco Systems, Inc",34.028455460351694,37.085385265300545,29.081055907605524,30.81063461303711,1156157100,0.0,3.105
2000-12-01,2000,2,CSCO,"Cisco Systems, Inc",31.655326930526034,35.87871870651744,22.62531308566823,24.61634063720703,1350238800,0.0,3.105
2000-01-01,2000,3,MSFT,Microsoft Corp,35.76797224461347,36.14888781697357,28.911491942131654,29.8256893157959,1274875200,0.0,2.514
2000-02-01,2000,3,MSFT,Microsoft Corp,30.016152047110605,33.52057589017428,26.85455227565099,27.2354679107666,1334487600,0.0,2.514
2000-03-01,2000,3,MSFT,Microsoft Corp,27.31164266698501,35.04422768985524,27.102139131882613,32.3778190612793,2028187600,0.0,2.514
2000-04-01,2000,3,MSFT,Microsoft Corp,28.778171313706263,29.40668200421077,19.80760964014197,21.255088806152344,2258146600,0.0,2.514
2000-05-01,2000,3,MSFT,Microsoft Corp,22.207371973729394,22.55019589785215,18.39821726125437,19.0648193359375,1344430800,0.0,2.514
2000-06-01,2000,3,MSFT,Microsoft Corp,19.617146342992783,25.045191690325737,19.445734384655953,24.378589630126953,1467050200,0.0,2.514
2000-07-01,2000,3,MSFT,Microsoft Corp,24.28336220334018,25.25469669147379,20.4932531221914,21.27412986755371,1234185800,0.0,2.514
2000-08-01,2000,3,MSFT,Microsoft Corp,21.31222141610797,22.816837584001206,20.759893962071214,21.27412986755371,1219399800,0.0,2.514
2000-09-01,2000,3,MSFT,Microsoft Corp,21.331270682379373,21.959781336413766,17.864939196492724,18.379175186157227,1425533800,0.0,2.514
2000-10-01,2000,3,MSFT,Microsoft Corp,18.436307931335783,21.369356920411928,14.760473808662429,20.988441467285156,2469415600,0.0,2.514
2000-11-01,2000,3,MSFT,Microsoft Corp,20.8741702243913,22.055008321026573,17.36974748598984,17.48402214050293,1983462600,0.0,2.514
2000-12-01,2000,3,MSFT,Microsoft Corp,17.69352224168585,18.474398896055195,12.284522977273815,13.217765808105469,2056668200,0.0,2.514
2000-01-01,2000,4,XOM,Exxon Mobil Corp,17.401185877182904,18.892325233010684,16.744537353515625,18.139915466308594,250602200,0.0,2.459
2000-02-01,2000,4,XOM,Exxon Mobil Corp,18.23569085845314,18.57769556322533,15.294450397412312,16.48462677001953,221046200,0.22,2.459
2000-03-01,2000,4,XOM,Exxon Mobil Corp,16.590773793367237,18.04900100903633,15.847903325007511,17.168561935424805,279745400,0.0,2.459
2000-04-01,2000,4,XOM,Exxon Mobil Corp,17.113539808523434,18.296630181138397,16.508237757418105,17.099782943725586,201420000,0.0,2.459
2000-05-01,2000,4,XOM,Exxon Mobil Corp,17.23734922187273,18.475466883459756,16.948455100835755,18.33789825439453,193631800,0.22,2.459
2000-06-01,2000,4,XOM,Exxon Mobil Corp,18.49276427554477,18.75556346869013,17.192599846299288,17.37240982055664,235361600,0.0,2.459
2000-07-01,2000,4,XOM,Exxon Mobil Corp,17.44157100448549,17.953337957035817,16.625510188256587,17.745864868164062,204308600,0.0,2.459
2000-08-01,2000,4,XOM,Exxon Mobil Corp,17.911844740872176,18.75556870163913,17.64904547440378,18.06744956970215,186959200,0.22,2.459
2000-09-01,2000,4,XOM,Exxon Mobil Corp,18.246012455409982,20.192995491810436,18.190384368655682,19.82793617248535,273431600,0.0,2.459
2000-10-01,2000,4,XOM,Exxon Mobil Corp,19.8870369898496,21.23601782062961,19.09433691403042,19.84531593322754,277293600,0.0,2.459
2000-11-01,2000,4,XOM,Exxon Mobil Corp,20.01221259480173,21.069146685979586,19.261233108964834,19.58109474182129,219069400,0.22,2.459
2000-12-01,2000,4,XOM,Exxon Mobil Corp,19.66257921489,20.431194607085416,18.796140045506075,19.438982009887695,246466000,0.0,2.459
2000-01-01,2000,5,PFE,"Pfizer, Inc",11.339176402539717,13.306401719287972,10.609755731544803,12.798018455505371,251871956,0.0,2.245
2000-02-01,2000,5,PFE,"Pfizer, Inc",12.576975203917643,13.41691307426388,11.184445170025581,11.361274719238281,204984871,0.085389,2.245
2000-03-01,2000,5,PFE,"Pfizer, Inc",11.39010258414079,13.11856072161069,10.636671163588979,12.9634428024292,301987653,0.0,2.245
2000-04-01,2000,5,PFE,"Pfizer, Inc",13.11855989054262,15.689089114937111,13.029921492499616,14.93565845489502,281281087,0.0,2.245
2000-05-01,2000,5,PFE,"Pfizer, Inc",14.979982272227126,16.44252484418993,14.647586038750221,15.77773380279541,223401939,0.085389,2.245
2000-06-01,2000,5,PFE,"Pfizer, Inc",16.230435287751884,17.096354399276798,15.009266504226641,17.05194854736328,262525364,0.0,2.245
2000-07-01,2000,5,PFE,"Pfizer, Inc",16.985340290969557,17.496009767644328,15.186892445042915,15.408923149108887,273042810,0.0,2.245
2000-08-01,2000,5,PFE,"Pfizer, Inc",15.49773741587459,16.585687473925574,14.83164662214579,15.325664520263672,223014172,0.085389,2.245
2000-09-01,2000,5,PFE,"Pfizer, Inc",15.575516069690286,16.15403612955916,14.017965035286636,15.992718696594238,245401662,0.0,2.245
2000-10-01,2000,5,PFE,"Pfizer, Inc",15.798023053898271,16.376543095057784,14.596483191691169,15.375259399414062,282725275,0.0,2.245
2000-11-01,2000,5,PFE,"Pfizer, Inc",15.575510744049033,16.532292932186845,14.59647867285539,15.775768280029297,263202350,0.085389,2.245
2000-12-01,2000,5,PFE,"Pfizer, Inc",15.742108960916148,17.14685763009305,14.894800695199425,16.41103744506836,294694922,0.0,2.245
2000-01-01,2000,6,INTC,Intel Corp,23.649986116176756,30.284763606078098,21.976868314375547,28.10127830505371,1406932200,0.0,2.21
2000-02-01,2000,6,INTC,Intel Corp,27.941498022163866,33.089550389652764,27.444444690130457,32.09544372558594,965312200,0.015,2.21
2000-03-01,2000,6,INTC,Intel Corp,32.06955347463227,41.303311950163156,31.82095228490644,37.48550796508789,1131350200,0.0,2.21
2000-04-01,2000,6,INTC,Intel Corp,37.32570461312675,39.50984432169697,30.79104272081912,36.02942657470703,1209578800,0.0,2.21
2000-05-01,2000,6,INTC,Intel Corp,36.34905432794327,37.2191587060914,29.867664572350062,35.42567825317383,1145907800,0.015,2.21
2000-06-01,2000,6,INTC,Intel Corp,35.860741672810136,39.85710961554529,35.274607707875646,37.99213790893555,851667400,0.0,2.21
2000-07-01,2000,6,INTC,Intel Corp,38.11643991577491,41.91742693440298,36.58894045969073,37.93882369995117,829139100,0.0,2.21
2000-08-01,2000,6,INTC,Intel Corp,38.11644791999524,43.09858382006917,34.35098335380745,42.556854248046875,688110000,0.02,2.21
2000-09-01,2000,6,INTC,Intel Corp,42.996729599802116,43.03226408707468,23.52383057443719,23.630434036254883,1467990100,0.0,2.21
2000-10-01,2000,6,INTC,Intel Corp,24.412189499537153,26.72193086412218,19.899310217963325,25.584827423095703,1423595100,0.0,2.21
2000-11-01,2000,6,INTC,Intel Corp,25.193947245530502,27.219412679938454,20.467861231911947,21.640499114990234,998090900,0.02,2.21
2000-12-01,2000,6,INTC,Intel Corp,21.89862932930865,21.89862932930865,16.957217841039327,17.099416732788086,1120692200,0.0,2.21
2000-01-01,2000,7,C,"Citigroup, Inc",215.90655996088398,233.37315807007909,192.1325792011462,221.2435760498047,30011293,0.0,1.926
2000-02-01,2000,7,C,"Citigroup, Inc",223.42694838150686,227.5510071464207,182.91413580853006,200.8659210205078,33274626,1.2,1.926
2000-03-01,2000,7,C,"Citigroup, Inc",207.26236070222794,242.77915021223413,185.85498072359408,233.04852294921875,37010776,0.0,1.926
2000-04-01,2000,7,C,"Citigroup, Inc",233.5350114208157,254.69912183082712,217.96601065942798,229.64276123046875,28481787,1.2,1.926
2000-05-01,2000,7,C,"Citigroup, Inc",234.86608233427884,247.3044729874961,219.98879155297976,242.67056274414062,24153028,0.0,1.926
2000-06-01,2000,7,C,"Citigroup, Inc",245.84113055343946,263.8889913281959,234.13441005089473,235.10997009277344,23476253,0.0,1.926
2000-07-01,2000,7,C,"Citigroup, Inc",236.81705017630938,280.96111411236706,236.32927046430873,275.1077575683594,18780491,0.0,1.926
2000-08-01,2000,7,C,"Citigroup, Inc",276.8151132748476,307.62654585375134,273.40065372784505,303.80560302734375,20118221,1.395,1.926
2000-09-01,2000,7,C,"Citigroup, Inc",305.8263442552158,308.1086304063742,266.7014388067874,282.0253601074219,24297470,0.0,1.926
